频道名,地址,来源,图标
莒南综合,http://150.138.8.143/00/SNM/CHANNEL00001011/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/临沂莒南.png
蒙阴综合,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/临沂蒙阴.png
临沭综合,http://150.138.8.143/00/SNM/CHANNEL00001094/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/临沂临沭.png
陵城综合,http://150.138.8.143/00/SNM/CHANNEL00001082/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/德州陵城.png
禹城综合,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/德州禹城.png
禹城综艺,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/德州禹城.png
临邑综合,http://150.138.8.143/00/SNM/CHANNEL00001104/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/德州临邑.png
平原综合,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/德州平原.png
夏津综合,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/德州夏津.png
夏津公共,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/德州夏津.png
武城综合,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8,济南电信单播,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/山东/德州武城.png
