原始名,标准名,拟匹配频道名,分组,来源,输出顺序,是否已维护
北京卫视4K,北京卫视4K,北京卫视4K,待标准化,济南联通组播,未排序,否
城市剧场,城市剧场,城市剧场,待标准化,济南联通组播,未排序,否
地理,地理,地理,待标准化,济南联通组播,未排序,否
谍战剧场,谍战剧场,谍战剧场,待标准化,济南联通组播,未排序,否
东方卫视4K,东方卫视4K,东方卫视4K,待标准化,济南联通组播,未排序,否
动画,动画,动画,待标准化,济南联通组播,未排序,否
动作影院,动作影院,动作影院,待标准化,济南联通组播,未排序,否
古装剧场,古装剧场,古装剧场,待标准化,济南联通组播,未排序,否
光影,光影,光影,待标准化,济南联通组播,未排序,否
广东卫视4K,广东卫视4K,广东卫视4K,待标准化,济南联通组播,未排序,否
国学,国学,国学,待标准化,济南联通组播,未排序,否
好学生,好学生,好学生,待标准化,济南联通组播,未排序,否
红色影院,红色影院,红色影院,待标准化,济南联通组播,未排序,否
湖南卫视4K,湖南卫视4K,湖南卫视4K,待标准化,济南联通组播,未排序,否
家庭影院,家庭影院,家庭影院,待标准化,济南联通组播,未排序,否
鉴赏,鉴赏,鉴赏,待标准化,济南联通组播,未排序,否
江苏卫视4K,江苏卫视4K,江苏卫视4K,待标准化,济南联通组播,未排序,否
解密,解密,解密,待标准化,济南联通组播,未排序,否
经典电影,经典电影,经典电影,待标准化,济南联通组播,未排序,否
经典剧场,经典剧场,经典剧场,待标准化,济南联通组播,未排序,否
精选,精选,精选,待标准化,济南联通组播,未排序,否
聚鲨环球,聚鲨环球,聚鲨环球,待标准化,济南联通组播,未排序,否
军旅剧场,军旅剧场,军旅剧场,待标准化,济南联通组播,未排序,否
军事,军事,军事,待标准化,济南联通组播,未排序,否
老故事,老故事,老故事,待标准化,济南联通组播,未排序,否
美人,美人,美人,待标准化,济南联通组播,未排序,否
美妆,美妆,美妆,待标准化,济南联通组播,未排序,否
魅力时尚,魅力时尚,魅力时尚,待标准化,济南联通组播,未排序,否
墨宝,墨宝,墨宝,待标准化,济南联通组播,未排序,否
热播剧场,热播剧场,热播剧场,待标准化,济南联通组播,未排序,否
山东海洋频道,山东海洋频道,山东海洋频道,待标准化,济南联通组播,未排序,否
山东齐鲁,山东齐鲁,山东齐鲁,待标准化,济南联通组播,未排序,否
山东卫视4K,山东卫视4K,山东卫视4K,待标准化,济南联通组播,未排序,否
少儿动画,少儿动画,少儿动画,待标准化,济南联通组播,未排序,否
深圳卫视4K,深圳卫视4K,深圳卫视4K,待标准化,济南联通组播,未排序,否
生态环境,生态环境,生态环境,待标准化,济南联通组播,未排序,否
收视指南,收视指南,收视指南,待标准化,济南联通组播,未排序,否
四川卫视4K,四川卫视4K,四川卫视4K,待标准化,济南联通组播,未排序,否
武术,武术,武术,待标准化,济南联通组播,未排序,否
武侠剧场,武侠剧场,武侠剧场,待标准化,济南联通组播,未排序,否
喜剧影院,喜剧影院,喜剧影院,待标准化,济南联通组播,未排序,否
戏曲,戏曲,戏曲,待标准化,济南联通组播,未排序,否
相声小品,相声小品,相声小品,待标准化,济南联通组播,未排序,否
星影,星影,星影,待标准化,济南联通组播,未排序,否
音乐现场,音乐现场,音乐现场,待标准化,济南联通组播,未排序,否
优购物,优购物,优购物,待标准化,济南联通组播,未排序,否
早教,早教,早教,待标准化,济南联通组播,未排序,否
浙江卫视4K,浙江卫视4K,浙江卫视4K,待标准化,济南联通组播,未排序,否
中国教育1,中国教育1,中国教育1,待标准化,济南联通组播,未排序,否
中国教育2,中国教育2,中国教育2,待标准化,济南联通组播,未排序,否
中国教育4,中国教育4,中国教育4,待标准化,济南联通组播,未排序,否
中学生,中学生,中学生,待标准化,济南联通组播,未排序,否
足球,足球,足球,待标准化,济南联通组播,未排序,否
东方卫视-4K,东方卫视-4K,东方卫视-4K,待标准化,青岛联通单播,未排序,否
发现之旅,发现之旅,发现之旅,待标准化,青岛联通单播,未排序,否
海看教育,海看教育,海看教育,待标准化,青岛联通单播,未排序,否
海看演艺,海看演艺,海看演艺,待标准化,青岛联通单播,未排序,否
旅游卫视,旅游卫视,旅游卫视,待标准化,青岛联通单播,未排序,否
青岛QTV-6,青岛QTV-6,青岛QTV-6,待标准化,青岛联通单播,未排序,否
山东居家购物,山东居家购物,山东居家购物,待标准化,青岛联通单播,未排序,否
山东卫视-4K,山东卫视-4K,山东卫视-4K,待标准化,青岛联通单播,未排序,否
浙江卫视-4K,浙江卫视-4K,浙江卫视-4K,待标准化,青岛联通单播,未排序,否
CCTV1,CCTV-1,CCTV-1,待确认分组,山东移动单播,未排序,否
cctv10,CCTV-10,CCTV-10,待确认分组,山东移动单播,未排序,否
cctv11,CCTV-11,CCTV-11,待确认分组,山东移动单播,未排序,否
cctv12,CCTV-12,CCTV-12,待确认分组,山东移动单播,未排序,否
cctv13,CCTV-13,CCTV-13,待确认分组,山东移动单播,未排序,否
cctv14,CCTV-14,CCTV-14,待确认分组,山东移动单播,未排序,否
cctv15,CCTV-15,CCTV-15,待确认分组,山东移动单播,未排序,否
cctv17,CCTV-17,CCTV-17,待确认分组,山东移动单播,未排序,否
cctv2,CCTV-2,CCTV-2,待确认分组,山东移动单播,未排序,否
cctv3,CCTV-3,CCTV-3,待确认分组,山东移动单播,未排序,否
cctv4,CCTV-14,CCTV-14,待确认分组,山东移动单播,未排序,否
cctv4k,CCTV-4K,CCTV-4K,待确认分组,山东移动单播,未排序,否
cctv4美洲,cctv4美洲,cctv4美洲,待标准化,山东移动单播,未排序,否
cctv4欧洲,cctv4欧洲,cctv4欧洲,待标准化,山东移动单播,未排序,否
cctv5,CCTV-5,CCTV-5,待确认分组,山东移动单播,未排序,否
cctv5+,CCTV-5+,CCTV-5+,待确认分组,山东移动单播,未排序,否
